127.0.0.1 - - [26/Jul/2022:09:50:58 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:26 +0900] "GET /WebProject2/images/%EA%B8%B0%EB%B3%B8%EC%9D%B4%EB%AF%B8%EC%A7%80.png HTTP/1.1" 200 14395
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:27 +0900] "GET /WebProject2/index.jsp?profile_id=2 HTTP/1.1" 200 234589
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:27 +0900] "GET /WebProject2/images/playbutton.png HTTP/1.1" 200 8494
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:27 +0900] "GET /WebProject2/images/12.jpeg HTTP/1.1" 200 10424
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:27 +0900] "GET /WebProject2/images/18Gray.png HTTP/1.1" 200 5161
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:27 +0900] "GET /WebProject2/images/dibGray.png HTTP/1.1" 200 7404
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:27 +0900] "GET /WebProject2/images/15Gray.png HTTP/1.1" 200 4972
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:27 +0900] "GET /WebProject2/images/12Gray.png HTTP/1.1" 200 5211
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:27 +0900] "GET /WebProject2/images/15.jpeg HTTP/1.1" 200 28455
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:27 +0900] "GET /WebProject2/images/logo.png HTTP/1.1" 200 6332
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:27 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:27 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:36 +0900] "GET /WebProject2/YGServlet?movie_drama_id=7 HTTP/1.1" 200 1808
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:36 +0900] "GET /WebProject2/Controller?command=dramaRoundBoxServletAction&movie_drama_id=7 HTTP/1.1" 200 4102
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:36 +0900] "GET /WebProject2/Controller?command=gradeServletAction&movie_drama_id=7 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:01:55 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:02:01 +0900] "GET /WebProject2/YGServlet?movie_drama_id=4 HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:02:01 +0900] "GET /WebProject2/Controller?command=dramaRoundBoxServletAction&movie_drama_id=4 HTTP/1.1" 200 9678
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:02:01 +0900] "GET /WebProject2/Controller?command=gradeServletAction&movie_drama_id=4 HTTP/1.1" 200 33
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:02:36 +0900] "GET /WebProject2/jspCY/Netflix02.jsp HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:02:48 +0900] "GET /WebProject2/jspCY/Netflix02.jsp HTTP/1.1" 200 11663
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:02:48 +0900] "GET /WebProject2/jspCY/css/Netflix02.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:00 +0900] "POST /WebProject2/jspCY/Netflix02_login_action.jsp HTTP/1.1" 200 212
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:06 +0900] "POST /WebProject2/jspCY/Netflix02_login_action.jsp HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:07 +0900] "GET /WebProject2/jspBR/p01.account.jsp HTTP/1.1" 200 13198
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:07 +0900] "GET /WebProject2/images/upload/test1.jpg HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:08 +0900] "GET /WebProject2/index.jsp?profile_id=2 HTTP/1.1" 200 234601
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:09 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:09 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:16 +0900] "GET /WebProject2/index4.jsp?searchInput=%EC%8A%A4%ED%8C%8C%EC%9D%B4%ED%8E%98%EC%9E%84&profile_id=2 HTTP/1.1" 200 165506
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:21 +0900] "GET /WebProject2/index4.jsp?searchInput=%EC%8A%A4%ED%8C%8C%EC%9D%B4+%ED%8E%98%EB%B0%80%EB%A6%AC&profile_id=2 HTTP/1.1" 200 165506
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:23 +0900] "GET /WebProject2/index1.jsp?profile_id=2 HTTP/1.1" 200 289877
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:23 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:23 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:30 +0900] "GET /WebProject2/index2.jsp?profile_id=2 HTTP/1.1" 200 292732
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:30 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:03:30 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:04:11 +0900] "GET /WebProject2/netflixSearch.jsp?searchInput=%EC%8A%B9%EB%A6%AC%ED%98%B8&profile_id=2 HTTP/1.1" 200 165961
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:04:19 +0900] "GET /WebProject2/index4.jsp?searchInput=%EC%8A%A4%ED%8C%8C%EC%9D%B4%ED%8E%98%EB%B0%80%EB%A6%AC&profile_id=2 HTTP/1.1" 200 165506
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:04:24 +0900] "GET /WebProject2/index4.jsp?searchInput=%EC%8A%A4%ED%8C%8C%EC%9D%B4%ED%8C%A8%EB%B0%80%EB%A6%AC&profile_id=2 HTTP/1.1" 200 165506
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:04:28 +0900] "GET /WebProject2/index4.jsp?searchInput=%EC%8A%A4%ED%8C%8C%EC%9D%B4&profile_id=2 HTTP/1.1" 200 170682
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:04:36 +0900] "GET /WebProject2/index1.jsp?profile_id=2 HTTP/1.1" 200 289937
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:04:36 +0900] "GET /WebProject2/Controller?command=movieScrollServletAction&page=1 HTTP/1.1" 200 2298
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:04:36 +0900] "GET /WebProject2/Controller?command=dramaScrollServletAction&page=2 HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:04:43 +0900] "GET /WebProject2/YGServlet?movie_drama_id=149 HTTP/1.1" 200 1541
0:0:0:0:0:0:0:1 - - [26/Jul/2022:10:04:43 +0900] "GET /WebProject2/Controller?command=dramaRoundBoxServletAction&movie_drama_id=149 HTTP/1.1" 200 6223
